,churn_0_LPIPS,churn_0_EDMCLIP,churn_0_DMDCLIP,churn_1_LPIPS,churn_1_EDMCLIP,churn_1_DMDCLIP,churn_10_LPIPS,churn_10_EDMCLIP,churn_10_DMDCLIP,churn_40_LPIPS,churn_40_EDMCLIP,churn_40_DMDCLIP,churn_5_LPIPS,churn_5_EDMCLIP,churn_5_DMDCLIP
0,0.41846466064453125,0.275146484375,0.306884765625,0.43985313177108765,0.266357421875,0.306884765625,0.5868701934814453,0.283203125,0.306884765625,0.5809245705604553,0.292724609375,0.306884765625,0.5944650769233704,0.28662109375,0.306884765625
1,0.6066870093345642,0.36083984375,0.255126953125,0.6817102432250977,0.286376953125,0.255126953125,0.746862530708313,0.297607421875,0.255126953125,0.7561445832252502,0.313720703125,0.255126953125,0.7151875495910645,0.318603515625,0.255126953125
2,0.570885419845581,0.2376708984375,0.2734375,0.5760788321495056,0.281005859375,0.2734375,0.611479640007019,0.232177734375,0.2734375,0.6967849135398865,0.20263671875,0.2734375,0.6476569771766663,0.218994140625,0.2734375
3,0.5193140506744385,0.329345703125,0.18994140625,0.5995420217514038,0.27880859375,0.18994140625,0.7394168376922607,0.269287109375,0.18994140625,0.8060644268989563,0.30517578125,0.18994140625,0.7134199142456055,0.2548828125,0.18994140625
4,0.3216496706008911,0.27099609375,0.282470703125,0.39983484148979187,0.26318359375,0.282470703125,0.5405441522598267,0.275146484375,0.282470703125,0.5847558379173279,0.265869140625,0.282470703125,0.49935024976730347,0.266845703125,0.282470703125
5,0.2633763253688812,0.30712890625,0.328125,0.31081241369247437,0.34716796875,0.328125,0.4689410924911499,0.335205078125,0.328125,0.4948168992996216,0.312744140625,0.328125,0.46799689531326294,0.325439453125,0.328125
6,0.5632444620132446,0.21826171875,0.2314453125,0.5760899186134338,0.22900390625,0.2314453125,0.5673753619194031,0.234130859375,0.2314453125,0.6220114231109619,0.290771484375,0.2314453125,0.5894024968147278,0.238525390625,0.2314453125
7,0.28813350200653076,0.30419921875,0.315185546875,0.4530942738056183,0.275146484375,0.315185546875,0.5919622778892517,0.280029296875,0.315185546875,0.5740619897842407,0.2364501953125,0.315185546875,0.5408613681793213,0.276123046875,0.315185546875
8,0.3420136868953705,0.3037109375,0.316650390625,0.625728964805603,0.25732421875,0.316650390625,0.6810811758041382,0.2457275390625,0.316650390625,0.6699551343917847,0.25830078125,0.316650390625,0.6623680591583252,0.216796875,0.316650390625
9,0.45545631647109985,0.223388671875,0.2435302734375,0.6271926164627075,0.23876953125,0.2435302734375,0.6858919858932495,0.258544921875,0.2435302734375,0.6840195655822754,0.233154296875,0.2435302734375,0.673872709274292,0.2437744140625,0.2435302734375
10,0.2485714852809906,0.29345703125,0.29541015625,0.48453810811042786,0.29833984375,0.29541015625,0.5411924719810486,0.30859375,0.29541015625,0.5673462748527527,0.341064453125,0.29541015625,0.5541843771934509,0.288330078125,0.29541015625
